KEYWORD,MSV FEB 2020,MSV MAR 2020,MSV APR 2020,MONTH TO MONTH TREND,CATEGORY,CONSUMER IMPACT
irs relief check,10,880,"27,100",2980%,Finance - Banking - Tax Relief,Financial Hardship
outsource payroll service,20,20,390,1850%,Finance - Banking Payroll,Financial Hardship
small business administration grants,170,"1,900","27,100",1326%,Finance - Banking - Relief - Business,Financial Hardship
refund stimulus check,10,"4,400","27,100",516%,Finance - Banking - Relief - Stimulus,Financial Hardship
payroll cost,320,880,"4,400",400%,Finance - Banking Payroll,Financial Hardship
can you get a charge off removed from credit,10,10,50,400%,Finance - Banking - Funds Return - Question,Financial Hardship
pandemic unemployment assistance,0,"110,000","450,000",309%,Finance - Banking - Unemployment - Pandemic,Financial Hardship
atms open 24 hours near me,10,10,30,200%,Finance - Banking - ATM - Near Me,Money Mangement
best credit protection plans,10,10,30,200%,Finance - Banking - Credit - Protection,Financial Hardship
can they handle the debt answers,10,10,30,200%,Finance - Banking - Funds Return - Can't - Debt,Financial Hardship
can a charge off be removed from your credit report,10,10,30,200%,Finance - Banking - Funds Return - Question,Financial Hardship
can you pay car insurance online,10,10,30,200%,Finance - Banking - Funds Return - Question,Financial Hardship
can i stop interest on my credit card,10,10,30,200%,Finance - Banking - Funds Return - Question,Financial Hardship
new student loan relief,10,10,30,200%,Finance - Banking - Loans - Student,Financial Hardship
irs relief tax,10,10,30,200%,Finance - Banking - Tax Relief,Financial Hardship
how mobile money works,10,10,30,200%,Finance - Banking - Transfer Money - Question,Money Mangement
forbearance plan,110,"5,400","14,800",174%,Finance - Banking - Mortgage - Forbearance,Financial Hardship
irs payment,"135,000","165,000","450,000",173%,Finance - Banking - Relief,Financial Hardship
payroll programs for small business,480,480,"1,300",171%,Finance - Banking Payroll,Financial Hardship
phone for cash machine near me,10,20,50,150%,Finance - Banking - ATM - Near Me,Money Mangement
fannie mae repayment plan,10,20,50,150%,Finance - Banking - Loans - Student,Financial Hardship
apply for tax relief,10,20,50,150%,Finance - Banking - Tax Relief,Financial Hardship
federal student loan forbearance,210,"1,000","2,400",140%,Finance - Banking - Loans - Student,Financial Hardship
working atm near me,10,30,70,133%,Finance - Banking - ATM - Near Me,Money Mangement
what is a forbearance payment,10,30,70,133%,Finance - Banking - Relief - Mortgage - Question - Forbearance,Financial Hardship
how to do mobile banking,20,30,70,133%,Finance - Banking - Mobile App - Question,Money Mangement
can i reopen my closed bank account,30,30,70,133%,Finance - Banking - Closing - Question,Financial Hardship
can a creditor remove a charge off,30,30,70,133%,Finance - Banking - Funds Return - Question,Financial Hardship
cares act,"2,400","1,000,000","2,240,000",124%,Finance - Banking - The Cares Act,Financial Hardship
loan forbearance,"3,600","27,100","60,500",123%,Finance - Banking - Loans,Financial Hardship
student loan forbearance,"8,100","22,200","49,500",123%,Finance - Banking - Loans - Student,Financial Hardship
sba loans,"33,100","550,000","1,220,000",122%,Finance - Banking - Loans,Financial Hardship
can i reopen a closed bank account,390,590,"1,300",120%,Finance - Banking - Closing - Question,Financial Hardship
how to send money from one bank to another,590,590,"1,300",120%,Finance - Banking - Transfer Money - Question,Money Mangement
does paying off debt help your credit,10,20,40,100%,Finance - Banking - Credit - Debt,Financial Hardship
atm available near me,10,10,20,100%,Finance - Banking - ATM - Near Me,Money Mangement
credit card protection services,70,70,140,100%,Finance - Banking - Credit - Protection,Financial Hardship
top credit protection companies,10,10,20,100%,Finance - Banking - Credit - Protection,Financial Hardship
credit protection mechanism,10,10,20,100%,Finance - Banking - Credit - Protection,Financial Hardship
credit lock protection,10,10,20,100%,Finance - Banking - Credit - Protection,Financial Hardship
will a missed payment affect my credit,10,10,20,100%,Finance - Banking - Credit Cards - Missed Payment,Financial Hardship
penalty for withdrawing 401k funds early,10,10,20,100%,Finance - Banking - Early Withdrawal - 401k,Financial Hardship
checking account no monthly fee no minimum balance,10,10,20,100%,Finance - Banking - Fees - Checking,Financial Hardship
is there a fee to close a savings account,10,10,20,100%,Finance - Banking - Fees - Savings,Financial Hardship
can mortgage payments be made with a credit card,10,10,20,100%,Finance - Banking - Funds Return,Financial Hardship
can i withdraw from savings if checking is overdrawn,20,20,40,100%,Finance - Banking - Funds Return - Checking - Question,Financial Hardship
