KEYWORD,MSV FEB 2020,MSV MAR 2020,MSV April 2020,MONTH TO MONTH TREND,CATEGORY,CONSUMER IMPACT
full refund for cancelled flight,10,20,90,350%,Travel - Refund,Financial Hardship
airline refund,260,"9,900",33100,234%,Travel - Airline - Refund,Financial Hardship
travel summer 2020,90,390,1300,233%,Travel - Information,Travel Distruption
was my flight cancelled,10,210,590,181%,Travel - Cancellation - Question,Financial Hardship
flight refund rules,10,20,50,150%,Travel - Refund,Financial Hardship
what is disinfectant fogging,10,90,210,133%,Travel - Airline - Cleanliness,Health & Safety
travel and tourism industry,140,210,480,129%,Travel - Tourism,Health & Safety
how safe is flying southwest,10,10,20,100%,Travel - Airline - Question,Health & Safety
my flight was cancelled southwest,10,10,20,100%,Travel - Cancellation,Health & Safety
flight cancellation refund rules,10,10,20,100%,Travel - Refund,Financial Hardship
delta refund status,590,"4,400",8100,84%,Travel - Airline - Refund,Financial Hardship
flight cancelled no refund,10,50,90,80%,Travel - Refund,Financial Hardship
get refund for cancelled flight,10,110,170,55%,Travel - Refund,Financial Hardship
summer vacation,"9,900","9,900",14800,49%,Travel - Summer,Health & Safety
flight time change refund,10,50,70,40%,Travel - Airline - Cancellation - Refund,Financial Hardship
clean cabin,20,30,40,33%,Travel - Airline - Cleanliness,Health & Safety
can hotels cancel your reservation,30,40,50,25%,Travel - Hotel - Cancellation,Financial Hardship
us waiver,40,40,50,25%,Travel - Waivers,Financial Hardship
airline cancelled my flight,30,260,320,23%,Travel - Cancellation,Financial Hardship
can i cancel my car insurance,210,390,480,23%,Travel - Insurance - Cancellation - Question,Health & Safety
flight cancellation refund,590,"6,600",8100,23%,Travel - Cancellation,Financial Hardship
summer holidays,"4,400","4,400",5400,23%,Travel - Summer,Health & Safety
are airports open,20,"22,200",27100,22%,Travel - Information - Question,Health & Safety
summer plans,"1,000","1,600",1900,19%,Travel - Summer,Health & Safety
united airlines flight problems,10,10,10,0%,Travel - Airline,Health & Safety
us airways cancellation fee,10,10,10,0%,Travel - Airline - Cancellation,Health & Safety
us airways cancellation,10,10,10,0%,Travel - Airline - Cancellation,Health & Safety
austrian hotel cancellation policy,0,10,10,0%,Travel - Airline - Cancellation - Policy,Financial Hardship
air europa flight change policy,0,10,10,0%,Travel - Airline - Cancellation - Policy,Financial Hardship
aegean flight cancellation policy,10,10,10,0%,Travel - Airline - Cancellation - Policy,Financial Hardship
air canada voucher policy,10,10,10,0%,Travel - Airline - Cancellation - Policy,Financial Hardship
air miles hotel cancellation policy,10,10,10,0%,Travel - Airline - Cancellation - Policy,Financial Hardship
frontier name change policy,10,10,10,0%,Travel - Airline - Cancellation - Policy,Financial Hardship
air blue ticket refund policy,10,10,10,0%,Travel - Airline - Cancellation - Policy,Financial Hardship
virgin atlantic delay policy,10,10,10,0%,Travel - Airline - Cancellation - Policy,Financial Hardship
virgin media cancellation policy,10,10,10,0%,Travel - Airline - Cancellation - Policy,Financial Hardship
eu refund policy,10,10,10,0%,Travel - Airline - Cancellation - Policy,Financial Hardship
avianca delayed flight policy,10,10,10,0%,Travel - Airline - Cancellation - Policy,Financial Hardship
when do airlines cancel flights,70,260,260,0%,Travel - Airline - Cancellation - Question,Health & Safety
caribbean airlines refund,10,110,110,0%,Travel - Airline - Cancellation - Refund,Financial Hardship
brussels airlines flight cancelled refund,10,10,10,0%,Travel - Airline - Cancellation - Refund,Financial Hardship
british airways refunds department,10,10,10,0%,Travel - Airline - Cancellation - Refund,Financial Hardship
how to check flight ticket is refundable or not,0,10,10,0%,Travel - Airline - Cancellation - Refund - Question,Financial Hardship
how much refund on air ticket cancellation,0,10,10,0%,Travel - Airline - Cancellation - Refund - Question,Financial Hardship
can i get a refund on ryanair flights,0,10,10,0%,Travel - Airline - Cancellation - Refund - Question,Financial Hardship
delta change date of flight fee,10,10,10,0%,Travel - Airline - Change,Travel Distruption
delta cost to change flight date,10,10,10,0%,Travel - Airline - Change,Travel Distruption
changes in travel industry,10,10,10,0%,Travel - Airline - Change,Travel Distruption
can you change delta flight dates,10,10,10,0%,Travel - Airline - Change - Question,Travel Distruption
fogging disinfection,"2,900","60,500",60500,0%,Travel - Airline - Cleanliness,Health & Safety
fogging disinfectant,20,590,590,0%,Travel - Airline - Cleanliness,Health & Safety
how to make hand wash,10,320,320,0%,Travel - Airline - Cleanliness,Health & Safety
how to perform hand hygiene,30,40,40,0%,Travel - Airline - Cleanliness,Health & Safety
aircraft interior cleaning checklist,10,10,10,0%,Travel - Airline - Cleanliness,Health & Safety
airplane outbreak,10,10,10,0%,Travel - Airline - Cleanliness,Health & Safety
delta change return flight fee,10,10,10,0%,Travel - Airline - Fees - Change,Financial Hardship
united airlines flight date change fee,10,10,10,0%,Travel - Airline - Fees - Change,Financial Hardship
american airlines change flight date fee,10,10,10,0%,Travel - Airline - Fees - Change,Financial Hardship
when to book summer flights,30,10,10,0%,Travel - Airline - Move/Rebook - Question,Travel Distruption
travel news alerts,10,10,10,0%,Travel - Airline - News,Financial Hardship
airfare news today,10,10,10,0%,Travel - Airline - News,Financial Hardship
delta airlines non refundable ticket policy,10,10,10,0%,Travel - Airline - Refund,Financial Hardship
ticket refund rules,10,10,10,0%,Travel - Airline - Refund,Financial Hardship
airport security announcement,10,10,10,0%,Travel - Airport - Security,Health & Safety
plane cancelled compensation,10,10,10,0%,Travel - Arline - Cancellation - Compensation,Financial Hardship
can i claim compensation for a cancelled flight,10,10,10,0%,Travel - Arline - Cancellation - Compensation - Question,Financial Hardship
best summer travel,10,10,10,0%,Travel - Best,Financial Hardship
are flights still cancelled,10,50,50,0%,Travel - Cancellation,Health & Safety
find cancelled flights,10,30,30,0%,Travel - Cancellation,Financial Hardship
online air ticket cancellation,0,10,10,0%,Travel - Cancellation,Financial Hardship
list of cancelled flights to new york,0,10,10,0%,Travel - Cancellation,Health & Safety
ticket cancellation flight,0,10,10,0%,Travel - Cancellation,Financial Hardship
list of cancelled flights jfk,10,10,10,0%,Travel - Cancellation,Health & Safety
air ticket cancellation rules,10,10,10,0%,Travel - Cancellation,Financial Hardship
flight ticket cancellation rules,10,10,10,0%,Travel - Cancellation,Financial Hardship
ticket cancellation rules,10,10,10,0%,Travel - Cancellation,Financial Hardship
airfare cancellation charges,0,10,10,0%,Travel - Cancellation - Charges,Financial Hardship
airline ticket cancellation charges,10,10,10,0%,Travel - Cancellation - Charges,Financial Hardship
flight schedule change compensation,140,210,210,0%,Travel - Cancellation - Compensation,Financial Hardship
airline late arrival compensation,0,10,10,0%,Travel - Cancellation - Compensation,Financial Hardship
flightright compensation,10,10,10,0%,Travel - Cancellation - Compensation,Financial Hardship
get compensation for cancelled flight,10,10,10,0%,Travel - Cancellation - Compensation,Financial Hardship
eu flight compensation form,10,10,10,0%,Travel - Cancellation - Compensation,Financial Hardship
flight compensation company,10,10,10,0%,Travel - Cancellation - Compensation,Financial Hardship
european airline compensation,10,10,10,0%,Travel - Cancellation - Compensation,Financial Hardship
airline late compensation,10,10,10,0%,Travel - Cancellation - Compensation,Financial Hardship
flight diversion compensation,10,10,10,0%,Travel - Cancellation - Compensation,Financial Hardship
flight compensation letter,10,10,10,0%,Travel - Cancellation - Compensation,Financial Hardship
